Diagnose;Schlüssel;Anzahl von Diagnose
Sonstige näher bezeichnete Gelenkkrankheiten: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];M25.88;Gefährlich
Psychische und Verhaltensstörungen durch Cannabinoide: Akute Intoxikation [akuter Rausch];F12.0;Gefährlich
Sepsis beim Neugeborenen durch Staphylococcus aureus;P36.2;Gefährlich
Sonstige Adipositas: Body-Mass-Index [BMI] nicht näher bezeichnet;E66.89;Gefährlich
Sepsis durch Staphylococcus aureus;A41.0;Gefährlich
Petit-mal-Status;G41.1;Gefährlich
Sonstige habituelle atlanto-axiale Subluxation;M43.4;Gefährlich
Sonstige Affektionen der Tränendrüse;H04.1;Gefährlich
Schlafapnoe, nicht näher bezeichnet;G47.39;Gefährlich
Offene Wunde: Oberkieferregion;S01.42;Gefährlich
Polyp des Magens und des Duodenums;K31.7;Gefährlich
Psychische und Verhaltensstörungen durch multiplen Substanzgebrauch und Konsum anderer psychotroper Substanzen: Schädlicher Gebrauch;F19.1;Gefährlich
Schlaffe Paraparese und Paraplegie: Chronische komplette Querschnittlähmung;G82.02;Gefährlich
Psychische und Verhaltensstörungen durch Opioide: Entzugssyndrom mit Delir;F11.4;Gefährlich
Sonstige infektiöse Otitis externa;H60.3;Gefährlich
Oberflächliche Verletzung sonstiger Teile des Halses: Sonstige;S10.88;Gefährlich
Sonstige kardiovaskuläre Krankheiten mit Ursprung in der Perinatalperiode;P29.8;Gefährlich
Pulmonalklappeninsuffizienz;I37.1;Gefährlich
Sonstige Komplikationen infolge Anästhesie;T88.5;Gefährlich
Sonstige akute Myokarditis;I40.8;Gefährlich
Schmerzen im Bereich der Brustwirbelsäule;M54.6;Gefährlich
Phlegmone an der unteren Extremität;L03.11;Gefährlich
Osteochondrosis dissecans;M93.2;Gefährlich
Oberflächliche Verletzung der behaarten Kopfhaut: Insektenbiss oder -stich (ungiftig);S00.03;Gefährlich
Offene Wunde der Nase: Teil nicht näher bezeichnet;S01.20;Gefährlich
Purpura anaphylactoides;D69.0;Gefährlich
Oberflächliche Verletzung der Knöchelregion und des Fußes, nicht näher bezeichnet;S90.9;Gefährlich
Offene Wunde: Sonstige und mehrere Teile des Ohres und der Gehörstrukturen;S01.39;Gefährlich
Sonstige näher bezeichnete abnorme Uterus- oder Vaginalblutung;N93.8;Gefährlich
Sonstige Alopecia areata;L63.8;Gefährlich
Pankreatogene Steatorrhoe;K90.3;Gefährlich
Pyoderma gangraenosum;L88;Gefährlich
Offene Wunde des Kopfes, Teil nicht näher bezeichnet;S01.9;Gefährlich
Notwendigkeit der Impfung gegen sonstige näher bezeichnete einzelne Infektionskrankheiten;Z26.8;Gefährlich
Notwendigkeit der Impfung gegen Grippe [Influenza];Z25.1;Gefährlich
Pyonephrose;N13.6;Gefährlich
Offene Wunde des Ohres: Teil nicht näher bezeichnet;S01.30;Gefährlich
Qualitative Thrombozytendefekte;D69.1;Gefährlich
Offene Wunde des Skrotums und der Testes;S31.3;Gefährlich
Radikuläre Zyste;K04.8;Gefährlich
Prellung und Hämatom der Leber;S36.11;Gefährlich
Radikulopathie: Thorakalbereich;M54.14;Gefährlich
Prellung und Hämatom der Niere;S37.01;Gefährlich
Phobische Störung des Kindesalters;F93.1;Gefährlich
Sonstige näher bezeichnete hämorrhagische Diathesen;D69.8;Gefährlich
Offene Wunde: Wangenschleimhaut;S01.52;Gefährlich
Perichondritis des äußeren Ohres;H61.0;Gefährlich
Sonstige angeborene Fehlbildungen der Cauda equina;Q06.3;Gefährlich
Sonstige näher bezeichnete Krankheiten der Atemwege;J98.8;Gefährlich
Pityriasis rosea;L42;Gefährlich
Offene Wunde einer oder mehrerer Zehen mit Schädigung des Nagels;S91.2;Gefährlich
Pityriasis versicolor;B36.0;Gefährlich
Sonstige Geburtsverletzungen der behaarten Kopfhaut;P12.8;Gefährlich
Sonstige angeborene Fehlbildungen der Rippen;Q76.6;Gefährlich
Polyp des Kolons;K63.5;Gefährlich
Sonstige angeborene Fehlbildungen der Trachea;Q32.1;Gefährlich
Sonstige Halluzinationen;R44.2;Gefährlich
Sonstige angeborene Fehlbildungen der Trikuspidalklappe;Q22.8;Gefährlich
Sonstige hämolytische Krankheiten beim Feten und Neugeborenen;P55.8;Gefährlich
Reine Hypercholesterinämie;E78.0;Gefährlich
Sonstige hyperkinetische Störungen;F90.8;Gefährlich
Oberflächliche Verletzung der oberen Extremität, Höhe nicht näher bezeichnet: Insektenbiss oder -stich (ungiftig);T11.03;Gefährlich
Sonstige Hyperthyreose;E05.8;Gefährlich
Oberflächliche Verletzung sonstiger Teile des Kopfes: Sonstige;S00.88;Gefährlich
Schlaffe Hemiparese und Hemiplegie;G81.0;Gefährlich
Sonstige angeborene Fehlbildungen des Tränenapparates;Q10.6;Gefährlich
Oberflächliche Verletzung des Abdomens, der Lumbosakralgegend und des Beckens, Teil nicht näher bezeichnet: Prellung;S30.95;Gefährlich
Oberflächliche Verletzung sonstiger und nicht näher bezeichneter Teile des Thorax: Prellung;S20.85;Gefährlich
Sonstige Ichthyosis congenita;Q80.8;Gefährlich
Retinierte Zähne;K01.0;Gefährlich
Polyzystische Niere, nicht näher bezeichnet;Q61.3;Gefährlich
Sonstige angeborene Viruskrankheiten;P35.8;Gefährlich
Orthostatische Proteinurie, nicht näher bezeichnet;N39.2;Gefährlich
Oberflächliche Verletzung sonstiger und nicht näher bezeichneter Teile des Thorax: Schürfwunde;S20.81;Gefährlich
Sonstige juvenile Arthritis: Mehrere Lokalisationen;M08.80;Gefährlich
Retinopathien des Augenhintergrundes und Veränderungen der Netzhautgefäße;H35.0;Gefährlich
Sonstige kombinierte Störung des Sozialverhaltens und der Emotionen;F92.8;Gefährlich
Sonstige Aspergillose der Lunge;B44.1;Gefährlich
Sonstige Komplikationen durch interne Prothesen, Implantate oder Transplantate, anderenorts nicht klassifiziert;T85.88;Gefährlich
Pneumonie durch andere aerobe gramnegative Bakterien;J15.6;Gefährlich
Oberflächliche Verletzung des Halses, Teil nicht näher bezeichnet: Prellung;S10.95;Gefährlich
Sonstige bakterielle Meningitis;G00.8;Gefährlich
Ösophagusverschluss;K22.2;Gefährlich
Sonstige bakterielle Pneumonie;J15.8;Gefährlich
Präkordiale Schmerzen;R07.2;Gefährlich
Sonstige bakterielle Sepsis beim Neugeborenen;P36.8;Gefährlich
Sonstige Krankheiten des Rachenraumes;J39.2;Gefährlich
Rett-Syndrom;F84.2;Gefährlich
Sonstige Kreislaufkomplikationen nach medizinischen Maßnahmen, anderenorts nicht klassifiziert;I97.8;Gefährlich
Sonstige biomechanische Funktionsstörungen: Thorakalbereich [thorakolumbal];M99.82;Gefährlich
Sonstige Läsionen des N. medianus;G56.1;Gefährlich
Rezidivierende depressive Störung, nicht näher bezeichnet;F33.9;Gefährlich
Offene Wunde der oberen Extremität, Höhe nicht näher bezeichnet;T11.1;Gefährlich
Rezidivierende orale Aphthen;K12.0;Gefährlich
Offene Wunde der Vagina und der Vulva;S31.4;Gefährlich
Sonstige chronische Sinusitis;J32.8;Gefährlich
Schnellender Finger;M65.3;Gefährlich
Pneumonie durch Chlamydien;J16.0;Gefährlich
Offene Wunde des Ellenbogens;S51.0;Gefährlich
Rippenserienfraktur: Nicht näher bezeichnet;S22.40;Gefährlich
Sonstige näher bezeichnete Affektionen der Konjunktiva;H11.8;Gefährlich
Rissverletzung der Milz mit Beteiligung des Parenchyms;S36.03;Gefährlich
Schwere Intelligenzminderung: Deutliche Verhaltensstörung, die Beobachtung oder Behandlung erfordert;F72.1;Gefährlich
Pneumonie durch humanes Metapneumovirus;J12.3;Gefährlich
Schwere Intelligenzminderung: Sonstige Verhaltensstörung;F72.8;Gefährlich
Sonstige Dermatophytosen;B35.8;Gefährlich
Oberflächliche Verletzung des Kopfes, Teil nicht näher bezeichnet: Schürfwunde;S00.91;Gefährlich
Sonstige Dystonie;G24.8;Gefährlich
Sonstige näher bezeichnete angeborene Fehlbildungen des Auges;Q15.8;Gefährlich
Rückenschmerzen, nicht näher bezeichnet: Zervikalbereich;M54.92;Gefährlich
Schwimmhautbildung an den Zehen;Q70.3;Gefährlich
Opiatsubstitution;Z51.83;Gefährlich
Sonstige näher bezeichnete angeborene Fehlbildungen des Ohres;Q17.8;Gefährlich
Sonstige Enthesopathie des Fußes;M77.5;Gefährlich
Pathologische Luxation und Subluxation eines Gelenkes, anderenorts nicht klassifiziert: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];M24.35;Gefährlich
Sakrale Spina bifida mit Hydrozephalus;Q05.3;Gefährlich
Pectus excavatum;Q67.6;Gefährlich
Sakrale Spina bifida ohne Hydrozephalus;Q05.8;Gefährlich
Sonstige näher bezeichnete Blutungen beim Neugeborenen;P54.8;Gefährlich
Oberflächliche Verletzungen mit Beteiligung mehrerer Regionen der unteren Extremität(en);T00.3;Gefährlich
Sonstige näher bezeichnete Deformitäten der Wirbelsäule und des Rückens: Lumbalbereich;M43.86;Gefährlich
Sonstige Enzephalitis, Myelitis und Enzephalomyelitis;G04.8;Gefährlich
Sonstige näher bezeichnete degenerative Krankheiten des Nervensystems;G31.88;Gefährlich
Oberflächliche Verletzung der behaarten Kopfhaut: Schürfwunde;S00.01;Gefährlich
Oberflächliche Verletzung der Lippe und der Mundhöhle: Insektenbiss oder -stich (ungiftig);S00.53;Gefährlich
Pneumonie durch Respiratory-Syncytial-Viren [RS-Viren];J12.1;Gefährlich
Sonstige näher bezeichnete erythematöse Krankheiten;L53.8;Gefährlich
Orale Mukositis (ulzerativ);K12.3;Gefährlich
Sonstige näher bezeichnete Gelenkkrankheiten: Oberarm [Humerus, Ellenbogengelenk];M25.82;Gefährlich
Schädigung des Feten und Neugeborenen durch Alkoholkonsum der Mutter;P04.3;Gefährlich
Sonstige näher bezeichnete Gelenkkrankheiten: Unterschenkel [Fibula, Tibia, Kniegelenk];M25.86;Gefährlich
Pneumonie, nicht näher bezeichnet;J18.9;Gefährlich
Offene Wunde des Unterschenkels, Teil nicht näher bezeichnet;S81.9;Gefährlich
Schädigung des Feten und Neugeborenen durch Chorioamnionitis;P02.7;Gefährlich
Selektiver Mangel an Immunglobulin-G-Subklassen [IgG-Subklassen];D80.3;Gefährlich
Schädigung des Feten und Neugeborenen durch Einnahme von abhängigkeitserzeugenden Arzneimitteln oder Drogen durch die Mutter;P04.4;Gefährlich
Sepsis beim Neugeborenen durch Escherichia coli;P36.4;Gefährlich
Schädigung des Feten und Neugeborenen durch hypertensive Krankheiten der Mutter;P00.0;Gefährlich
Sonstige näher bezeichnete Komplikationen durch Prothesen, Implantate oder Transplantate im Herzen und in den Gefäßen;T82.8;Gefährlich
Schädigung des Feten und Neugeborenen durch Placenta praevia;P02.0;Gefährlich
Sonstige näher bezeichnete Krankheiten der Gingiva und des zahnlosen Alveolarkammes;K06.8;Gefährlich
Oberflächliche Verletzung des Abdomens, der Lumbosakralgegend und des Beckens, Teil nicht näher bezeichnet: Art der Verletzung nicht näher bezeichnet;S30.90;Gefährlich
Sonstige näher bezeichnete Krankheiten der Leber;K76.8;Gefährlich
Schädigung des Feten und Neugeborenen durch sonstige Lage-, Haltungs- und Einstellungsanomalien sowie Missverhältnis während Wehen und Entbindung;P03.1;Gefährlich
Sonstige näher bezeichnete Krankheiten der Nase und der Nasennebenhöhlen;J34.8;Gefährlich
Polydipsie;R63.1;Gefährlich
Periodische Atmung;R06.3;Gefährlich
Organbegrenzte Amyloidose;E85.4;Gefährlich
Hämorrhagie des Anus und des Rektums;K62.5;Gefährlich
Multiple Frakturen der Mittelhandknochen;S62.4;Gefährlich
Hypothyreose durch Arzneimittel oder andere exogene Substanzen;E03.2;Gefährlich
Krankheitszustand der Haut, der für den Feten und das Neugeborene spezifisch ist, nicht näher bezeichnet;P83.9;Gefährlich
Kombinierter Hörverlust durch Schallleitungs- und Schallempfindungsstörung, nicht näher bezeichnet;H90.8;Gefährlich
Hereditärer Faktor-XII-Mangel;D68.25;Gefährlich
Neuromyopathische Skoliose: Lumbosakralbereich;M41.47;Gefährlich
Inaktivitätsosteoporose: Nicht näher bezeichnete Lokalisation;M81.29;Gefährlich
Hereditäre erythropoetische Porphyrie;E80.0;Gefährlich
Lageanomalie des Ohres;Q17.4;Gefährlich
Multiple offene Wunden des Unterschenkels;S81.7;Gefährlich
Fraktur eines Brustwirbels: T11 und T12;S22.06;Gefährlich
Fremdkörper im Ohr;T16;Gefährlich
Fütterstörung im frühen Kindesalter;F98.2;Gefährlich
Hautabszess, Furunkel und Karbunkel am Gesäß;L02.3;Gefährlich
Infektion durch Herpesviren, nicht näher bezeichnet;B00.9;Gefährlich
Nicht näher bezeichnete Entwicklungsstörung;F89;Gefährlich
Fraktur eines Brustwirbels: T3 und T4;S22.02;Gefährlich
Nicht näher bezeichnetes nephritisches Syndrom: Art der morphologischen Veränderung nicht näher bezeichnet;N05.9;Gefährlich
Fraktur eines Brustwirbels: T5 und T6;S22.03;Gefährlich
Immunprophylaxe;Z29.1;Gefährlich
Fraktur eines Brustwirbels: T7 und T8;S22.04;Gefährlich
Multiple oberflächliche Verletzungen des Kopfes;S00.7;Gefährlich
Infektiöse Myositis: Unterschenkel [Fibula, Tibia, Kniegelenk];M60.06;Gefährlich
Myalgie: Mehrere Lokalisationen;M79.10;Gefährlich
Laryngospasmus;J38.5;Gefährlich
Nachbehandlung nach chirurgischem Eingriff, nicht näher bezeichnet;Z48.9;Gefährlich
Larynxödem;J38.4;Gefährlich
Nekrotisierende Fasziitis: Unterschenkel [Fibula, Tibia, Kniegelenk];M72.66;Gefährlich
Leberfibrose;K74.0;Gefährlich
Hämorrhagische Diathese durch Antikoagulanzien;D68.30;Gefährlich
Leberkrankheit, nicht näher bezeichnet;K76.9;Gefährlich
Fraktur des Daumens: Proximale Phalanx;S62.51;Gefährlich
Hernia inguinalis, einseitig oder ohne Seitenangabe, ohne Einklemmung und ohne Gangrän: Rezidivhernie;K40.91;Gefährlich
Krankheit der Zähne und des Zahnhalteapparates, nicht näher bezeichnet;K08.9;Gefährlich
Gilbert-Meulengracht-Syndrom;E80.4;Gefährlich
Nicht näher bezeichnete Intelligenzminderung: Keine oder geringfügige Verhaltensstörung;F79.0;Gefährlich
Infektiöse Perikarditis;I30.1;Gefährlich
Hemiparese und Hemiplegie, nicht näher bezeichnet;G81.9;Gefährlich
Fraktur des Femurs, Teil nicht näher bezeichnet;S72.9;Gefährlich
Nichteitrige Otitis media, nicht näher bezeichnet;H65.9;Gefährlich
Leichte kognitive Störung;F06.7;Gefährlich
Gemischte Hyperlipidämie;E78.2;Gefährlich
Glanduläre Hypospadie;Q54.0;Gefährlich
Klavikularfraktur durch Geburtsverletzung;P13.4;Gefährlich
Leichte Rissverletzung der Leber;S36.13;Gefährlich
Multiple Frakturen des Fußes;S92.7;Gefährlich
Glukosurie;R81;Gefährlich
Koma beim Neugeborenen;P91.5;Gefährlich
Leukämie in der Familienanamnese;Z80.6;Gefährlich
Kombinierte Störungen schulischer Fertigkeiten;F81.3;Gefährlich
Linksherzinsuffizienz: Mit Beschwerden bei leichterer Belastung;I50.13;Gefährlich
Gelbsucht, nicht näher bezeichnet;R17;Gefährlich
Linksherzinsuffizienz: Mit Beschwerden in Ruhe;I50.14;Gefährlich
Myositis, nicht näher bezeichnet: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule];M60.98;Gefährlich
Glykogenspeicherkrankheit [Glykogenose];E74.0;Gefährlich
Nachweis von Opiaten im Blut;R78.1;Gefährlich
Fraktur eines sonstigen Fingers: Distale Phalanx;S62.63;Gefährlich
Hämoptoe;R04.2;Gefährlich
Fraktur des 4. Halswirbels;S12.22;Gefährlich
Hypertelorismus;Q75.2;Gefährlich
Fraktur des Humerusschaftes;S42.3;Gefährlich
Hypertonie beim Neugeborenen;P29.2;Gefährlich
Lokalisierte Osteoporose [Lequesne]: Mehrere Lokalisationen;M81.60;Gefährlich
Harnwegsinfektion beim Neugeborenen;P39.3;Gefährlich
Heterophorie;H50.5;Gefährlich
Gelenkschmerz: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];M25.55;Gefährlich
Hirninfarkt durch nicht näher bezeichneten Verschluss oder Stenose zerebraler Arterien;I63.5;Gefährlich
Hypoplasie und Dysplasie der Lunge;Q33.6;Gefährlich
Lokalisierte Schwellung, Raumforderung und Knoten der Haut und der Unterhaut an den oberen Extremitäten;R22.3;Gefährlich
Krankheit der Gallenwege, nicht näher bezeichnet;K83.9;Gefährlich
Intrauterine Hypoxie, nicht näher bezeichnet;P20.9;Gefährlich
Nicht näher bezeichnete chronische Bronchitis;J42;Gefährlich
Lokalisierte Schwellung, Raumforderung und Knoten der Haut und der Unterhaut, nicht näher bezeichnet;R22.9;Gefährlich
Hautblutung beim Neugeborenen;P54.5;Gefährlich
Longitudinaler Reduktionsdefekt des Femurs;Q72.4;Gefährlich
Nicht näher bezeichnete Kontaktdermatitis, nicht näher bezeichnete Ursache;L25.9;Gefährlich
Hirninfarkt durch Thrombose der Hirnvenen, nichteitrig;I63.6;Gefährlich
Krankheiten der Meningen, anderenorts nicht klassifiziert;G96.1;Gefährlich
Fraktur: Os ischium;S32.81;Gefährlich
Hepatomegalie verbunden mit Splenomegalie, anderenorts nicht klassifiziert;R16.2;Gefährlich
Lumboischialgie;M54.4;Gefährlich
Idiopathische Skoliose beim Jugendlichen: Thorakolumbalbereich;M41.15;Gefährlich
Fraktur: Sonstige und multiple Teile des Beckens;S32.89;Gefährlich
Nichtinfektiöse Dermatosen des Augenlides;H01.1;Gefährlich
Luxation der Hüfte: Nicht näher bezeichnet;S73.00;Gefährlich
Hereditäre Hypogammaglobulinämie;D80.0;Gefährlich
Luxation des Iliosakral- und des Sakro-Kokzygeal-Gelenkes;S33.2;Gefährlich
Nichtorganische Störung des Schlaf-Wach-Rhythmus;F51.2;Gefährlich
Gutartige Neubildung des Fettgewebes an sonstigen Lokalisationen;D17.7;Gefährlich
Keratokonjunktivitis;H16.2;Gefährlich
Lymphknotenvergrößerung, generalisiert;R59.1;Gefährlich
Hyperhidrose, umschrieben;R61.0;Gefährlich
Gutartige Neubildung des Ovars;D27;Gefährlich
Multiple Frakturen der Schädel- und Gesichtsschädelknochen;S02.7;Gefährlich
Intrazerebrale Blutung in die Großhirnhemisphäre, subkortikal;I61.0;Gefährlich
Hämarthros: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];M25.05;Gefährlich
Lymphödem, anderenorts nicht klassifiziert;I89.0;Gefährlich
Fraktur des Os sacrum;S32.1;Gefährlich
Magendivertikel;K31.4;Gefährlich
Multiple offene Wunden des Kopfes;S01.7;Gefährlich
Magenvarizen;I86.4;Gefährlich
Hyperlipidämie, nicht näher bezeichnet;E78.5;Gefährlich
Gutartige Neubildung: Colon transversum;D12.3;Gefährlich
Muskelkontraktur: Unterschenkel [Fibula, Tibia, Kniegelenk];M62.46;Gefährlich
Makroglossie (angeboren);Q38.2;Gefährlich
Myalgie: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];M79.11;Gefährlich
Ischialgie;M54.3;Gefährlich
Myoglobinurie;R82.1;Gefährlich
Malabsorption durch Intoleranz, anderenorts nicht klassifiziert;K90.4;Gefährlich
Gelenkerguss: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];M25.45;Gefährlich
Gutartige Neubildung: Gehirn, supratentoriell;D33.0;Gefährlich
Myotone Syndrome;G71.1;Gefährlich
Hörverlust durch Schallleitungsstörung, nicht näher bezeichnet;H90.2;Gefährlich
Nachuntersuchung nach nicht näher bezeichneter Behandlung wegen anderer Krankheitszustände;Z09.9;Gefährlich
Mangel an sonstigen Vitaminen;E56.8;Gefährlich
Fremdkörper im Nasenloch;T17.1;Gefährlich
Marisken als Folgezustand von Hämorrhoiden;K64.4;Gefährlich
Hämoperitoneum;K66.1;Gefährlich
Gutartige Neubildung: Herz;D15.1;Gefährlich
Nekrobiosis lipoidica, anderenorts nicht klassifiziert;L92.1;Gefährlich
Massive Lungenblutung mit Ursprung in der Perinatalperiode;P26.1;Gefährlich
Nervosität;R45.0;Gefährlich
Hühneraugen und Horn- (Haut-) Schwielen;L84;Gefährlich
Neubildung unsicheren oder unbekannten Verhaltens: Leber, Gallenblase und Gallengänge;D37.6;Gefährlich
Mechanische Komplikation durch ein kardiales elektronisches Gerät;T82.1;Gefährlich
Neugeborenenikterus durch sonstige näher bezeichnete Ursachen;P59.8;Gefährlich
Gutartige Neubildung: Hirnnerven;D33.3;Gefährlich
Kontakt mit und Exposition gegenüber Tuberkulose;Z20.1;Gefährlich
Kammerflattern und Kammerflimmern;I49.0;Gefährlich
Fremdkörper im Ösophagus;T18.1;Gefährlich
Mechanische Komplikation durch sonstige Geräte und Implantate im Herzen und in den Gefäßen;T82.5;Gefährlich
Gelenkkontraktur: Unterschenkel [Fibula, Tibia, Kniegelenk];M24.56;Gefährlich
Mechanische Komplikation durch sonstige näher bezeichnete interne Prothesen, Implantate oder Transplantate;T85.6;Gefährlich
Neugeborenes: Geburtsgewicht 750 bis unter 1000 Gramm;P07.02;Gefährlich
Meckel-Divertikel;Q43.0;Gefährlich
Neurofibromatose (nicht bösartig);Q85.0;Gefährlich
Gutartige Neubildung: Sonstige näher bezeichnete Teile des Zentralnervensystems;D33.7;Gefährlich
Hautabszess, Furunkel und Karbunkel an sonstigen Lokalisationen;L02.8;Gefährlich
Kandidose an sonstigen Lokalisationen des Urogenitalsystems;B37.4;Gefährlich
Fremdkörper in der Trachea;T17.4;Gefährlich
Habituelle Luxation der Patella;M22.0;Gefährlich
Fraktur des 2. Halswirbels;S12.1;Gefährlich
Hydronephrose bei Obstruktion durch Nieren- und Ureterstein;N13.2;Gefährlich
Krankheit der Haarfollikel, nicht näher bezeichnet;L73.9;Gefährlich
Melanozytennävus des Rumpfes;D22.5;Gefährlich
Krankheit des Blutes und der blutbildenden Organe, nicht näher bezeichnet;D75.9;Gefährlich
Melanozytennävus sonstiger und nicht näher bezeichneter Teile des Gesichtes;D22.3;Gefährlich
Krankheit des Gehirns, nicht näher bezeichnet;G93.9;Gefährlich
Melanozytennävus, nicht näher bezeichnet;D22.9;Gefährlich
Krankheit des Perikards, nicht näher bezeichnet;I31.9;Gefährlich
Habituelle Luxation und Subluxation eines Gelenkes: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk];M24.45;Gefährlich
Fraktur des Unterschenkels, Teil nicht näher bezeichnet;S82.9;Gefährlich
Hydrops fetalis, nicht durch hämolytische Krankheit bedingt;P83.2;Gefährlich
Krankheiten der Bronchien, anderenorts nicht klassifiziert;J98.0;Gefährlich
Kandidose, nicht näher bezeichnet;B37.9;Gefährlich
Hautinfektion beim Neugeborenen;P39.4;Gefährlich
Nichttoxische diffuse Struma;E04.0;Gefährlich
Hebephrene Schizophrenie;F20.1;Gefährlich
Frakturen sonstiger Schädel- und Gesichtsschädelknochen;S02.8;Gefährlich
Krankheiten der Mitral- und Aortenklappe, kombiniert;I08.0;Gefährlich
Halluzinationen, nicht näher bezeichnet;R44.3;Gefährlich
Nicht näher bezeichnete Verhaltens- oder emotionale Störungen mit Beginn in der Kindheit und Jugend;F98.9;Gefährlich
Kardiomyopathie, nicht näher bezeichnet;I42.9;Gefährlich
Nicht näher bezeichnete Verletzung des Thorax;S29.9;Gefährlich
Gehbeschwerden, anderenorts nicht klassifiziert;R26.2;Gefährlich
Funktionsstörung nach Kolostomie oder Enterostomie;K91.4;Gefährlich
Hyperästhesie der Haut;R20.3;Gefährlich
Krankheiten des Kiefergelenkes;K07.6;Gefährlich
Fraktur der Skapula: Multipel;S42.19;Gefährlich
Nichteitrige Thrombose des intrakraniellen Venensystems;I67.6;Gefährlich
Mitralklappenprolaps;I34.1;Gefährlich
Nichtinfektiöse Diarrhoe beim Neugeborenen;P78.3;Gefährlich
Keimträger der Virushepatitis;Z22.5;Gefährlich
Nichtneuropathische heredofamiliäre Amyloidose;E85.0;Gefährlich
Mittelgradige Dysplasie der Cervix uteri;N87.1;Gefährlich
Krankheiten des N. hypoglossus [XII. Hirnnerv];G52.3;Gefährlich
Mittelgradige Intelligenzminderung: Keine oder geringfügige Verhaltensstörung;F71.0;Gefährlich
Fraktur einer sonstigen Zehe;S92.5;Gefährlich
Keimträger sonstiger Infektionskrankheiten;Z22.8;Gefährlich
Immunkompromittierung nach Bestrahlung, Chemotherapie und sonstigen immunsuppressiven Maßnahmen;D90;Gefährlich
Monarthritis, anderenorts nicht klassifiziert: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];M13.17;Gefährlich
Hämangiom: Ohr, Nase, Mund und Rachen;D18.05;Gefährlich
Kardiale Arrhythmie, nicht näher bezeichnet;I49.9;Gefährlich
Erythema nodosum;L52;Gefährlich
Abnorme Ergebnisse von Schilddrüsenfunktionsprüfungen;R94.6;Gefährlich
Eitrige Arthritis, nicht näher bezeichnet: Mehrere Lokalisationen;M00.90;Gefährlich
Augenkrankheit durch Herpesviren;B00.5;Gefährlich
Angeborene(s) Fehlen, Atresie und Stenose des Dünndarmes, Teil nicht näher bezeichnet;Q41.9;Gefährlich
Akute Virushepatitis, nicht näher bezeichnet;B17.9;Gefährlich
Akute allergische Konjunktivitis;H10.1;Gefährlich
Angeborene Aortenklappeninsuffizienz;Q23.1;Gefährlich
Allergische Kontaktdermatitis durch Metalle;L23.0;Gefährlich
Blepharokonjunktivitis;H10.5;Gefährlich
Entzündliche Krankheiten der Mamma [Brustdrüse];N61;Gefährlich
Dekubitus 1. Grades: Beckenkamm;L89.03;Gefährlich
Abszess des äußeren Ohres;H60.0;Gefährlich
Angeborene Fehlbildung des Herzseptums, nicht näher bezeichnet;Q21.9;Gefährlich
Chronisches Ulkus der Haut, anderenorts nicht klassifiziert;L98.4;Gefährlich
Blutung aus dem äußeren Gehörgang;H92.2;Gefährlich
Crohn-Krankheit des Magens;K50.80;Gefährlich
Angeborenes Fehlen oder Hypoplasie der A. umbilicalis;Q27.0;Gefährlich
Ekzematoide Dermatitis;L30.3;Gefährlich
Andere Neubildungen in der Eigenanamnese;Z86.0;Gefährlich
Allergische Kontaktdermatitis, nicht näher bezeichnete Ursache;L23.9;Gefährlich
Bakterielle Sepsis beim Neugeborenen, nicht näher bezeichnet;P36.9;Gefährlich
Angeborene Luxation des Hüftgelenkes, beidseitig;Q65.1;Gefährlich
Angeborene Fehlbildungssyndrome mit vermehrtem Gewebewachstum im frühen Kindesalter;Q87.3;Gefährlich
Akute Sinusitis sphenoidalis;J01.3;Gefährlich
Angeborene aplastische Anämie;D61.0;Gefährlich
Anaphylaktischer Schock als unerwünschte Nebenwirkung eines indikationsgerechten Arzneimittels oder einer indikationsgerechten Droge bei ordnungsgemäßer Verabreichung;T88.6;Gefährlich
Blutung aus den Atemwegen, nicht näher bezeichnet;R04.9;Gefährlich
Atresie der Gallengänge;Q44.2;Gefährlich
Ausstellung wiederholter Verordnung;Z76.0;Gefährlich
Atresie und (angeborene) Stenose des Ureters;Q62.1;Gefährlich
Dekubitus 2. Grades: Sonstige Lokalisationen der unteren Extremität;L89.18;Gefährlich
Fallot-Tetralogie;Q21.3;Gefährlich
Dekubitus 3. Grades: Beckenkamm;L89.23;Gefährlich
Abnorme Reaktion auf Tuberkulintest;R76.1;Gefährlich
Achondroplasie;Q77.4;Gefährlich
Abnorme Uterus- oder Vaginalblutung, nicht näher bezeichnet;N93.9;Gefährlich
